        42: G03  2018- 1- 2  0:21: 0.0000000  Eliminate info: elevation angle is 9.45 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        42: G11  2018- 1- 2  0:21: 0.0000000  Eliminate info: elevation angle is 9.09 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        42: G21  2018- 1- 2  0:21: 0.0000000  Eliminate info: elevation angle is 5.86 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        43: G03  2018- 1- 2  0:21:30.0000000  Eliminate info: elevation angle is 9.39 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        43: G11  2018- 1- 2  0:21:30.0000000  Eliminate info: elevation angle is 9.26 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        43: G21  2018- 1- 2  0:21:30.0000000  Eliminate info: elevation angle is 5.80 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        44: G03  2018- 1- 2  0:22: 0.0000000  Eliminate info: elevation angle is 9.32 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        44: G11  2018- 1- 2  0:22: 0.0000000  Eliminate info: elevation angle is 9.43 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        44: G21  2018- 1- 2  0:22: 0.0000000  Eliminate info: elevation angle is 5.74 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        45: G03  2018- 1- 2  0:22:30.0000000  Eliminate info: elevation angle is 9.25 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        45: G11  2018- 1- 2  0:22:30.0000000  Eliminate info: elevation angle is 9.60 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        45: G21  2018- 1- 2  0:22:30.0000000  Eliminate info: elevation angle is 5.68 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        46: G21  2018- 1- 2  0:23: 0.0000000  Eliminate info: Lack of observations----..\MG_APP\QPPPModel.cpp, line:669, fuction:Run----                                                           | 
        46: G03  2018- 1- 2  0:23: 0.0000000  Eliminate info: elevation angle is 9.18 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        46: G11  2018- 1- 2  0:23: 0.0000000  Eliminate info: elevation angle is 9.77 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        47: G03  2018- 1- 2  0:23:30.0000000  Eliminate info: elevation angle is 9.11 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        47: G11  2018- 1- 2  0:23:30.0000000  Eliminate info: elevation angle is 9.94 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
